"","id","track_name","size_bytes","currency","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num","vpp_lic"
"1","281656475","PAC-MAN Premium",100788224,"USD",3.99,21292,26,4,4.5,"6.3.5","4+","Games",38,5,10,1
"2","281796108","Evernote - stay organized",158578688,"USD",0,161065,26,4,3.5,"8.2.2","4+","Productivity",37,5,23,1
"3","281940292","WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,"USD",0,188583,2822,3.5,4.5,"5.0.0","4+","Weather",37,5,3,1
"4","282614216","eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,"USD",0,262241,649,4,4.5,"5.10.0","12+","Shopping",37,5,9,1
"5","282935706","Bible",92774400,"USD",0,985920,5320,4.5,5,"7.5.1","4+","Reference",37,5,45,1
"6","283619399","Shanghai Mahjong",10485713,"USD",0.99,8253,5516,4,4,"1.8","4+","Games",47,5,1,1
"7","283646709","PayPal - Send and request money safely",227795968,"USD",0,119487,879,4,4.5,"6.12.0","4+","Finance",37,0,19,1
"8","284035177","Pandora - Music & Radio",130242560,"USD",0,1126879,3594,4,4.5,"8.4.1","12+","Music",37,4,1,1
"9","284666222","PCalc - The Best Calculator",49250304,"USD",9.99,1117,4,4.5,5,"3.6.6","4+","Utilities",37,5,1,1
"10","284736660","Ms. PAC-MAN",70023168,"USD",3.99,7885,40,4,4,"4.0.4","4+","Games",38,0,10,1
